"";"t0";"t1";"Dist";"Var1";"Var2";"Var3";"Var4"
"1401";441,79018796267;488;0,0268424250982184;0,7;0,15;0,15;0
"64881";441,79018796267;488;0,0224263192937494;0,55;0,1;0;0,35
"46361";441,79018796267;488;0,021752700109877;0,65;0,1;0;0,25
"521";441,79018796267;488;0,0215717858517125;0,8;0,15;0,05;0
"961";441,79018796267;488;0,0211033053151945;0,75;0,15;0,1;0
"741411";500,79018796267;547;0,0497479744867751;0,5;0,1;0;0,4
"4021";500,79018796267;547;0,0496523129209723;0,45;0,1;0,45;0
"22541";500,79018796267;547;0,0491582962308852;0,35;0,1;0,45;0,1
"101901";500,79018796267;547;0,0487972833171223;0,4;0,05;0;0,55
"75021";500,79018796267;547;0,0475619477587031;0,4;0,1;0,1;0,4
"13281";500,79018796267;547;0,047259423226245;0,4;0,1;0,45;0,05
"2261";500,79018796267;547;0,0470717027989054;0,65;0,1;0,25;0
"745811";500,79018796267;547;0,0460640098467876;0,45;0,1;0,05;0,4
"66641";500,79018796267;547;0,0459152172028593;0,35;0,1;0,2;0,35
"648811";500,79018796267;547;0,0458285273120462;0,55;0,1;0;0,35
"375411";500,79018796267;547;0,0448550062110111;0,65;0,1;0,05;0,2
"3581";500,79018796267;547;0,0441764022809335;0,5;0,1;0,4;0
"31361";500,79018796267;547;0,0427034203488257;0,35;0,1;0,4;0,15
"11081";500,79018796267;547;0,0419534228720796;0,65;0,1;0,2;0,05
"3141";500,79018796267;547;0,0416051652882213;0,55;0,1;0,35;0
"287211";500,79018796267;547;0,0405781334062889;0,65;0,1;0,1;0,15
"57821";500,79018796267;547;0,0402474436666568;0,35;0,1;0,25;0,3
"199011";500,79018796267;547;0,0395804751494426;0,65;0,1;0,15;0,1
"12841";500,79018796267;547;0,0388345044686686;0,45;0,1;0,4;0,05
"40181";500,79018796267;547;0,0385637530787224;0,35;0,1;0,35;0,2
"22101";500,79018796267;547;0,0380007351868281;0,4;0,1;0,4;0,1
"49001";500,79018796267;547;0,0376315957466251;0,35;0,1;0,3;0,25
"66201";500,79018796267;547;0,0376172617210213;0,4;0,1;0,15;0,35
"468011";500,79018796267;547;0,0375707099360152;0,6;0,1;0,05;0,25
"653211";500,79018796267;547;0,0374803792863046;0,5;0,1;0,05;0,35
"11521";500,79018796267;547;0,0346681648163705;0,6;0,1;0,25;0,05
"560611";500,79018796267;547;0,034498851559311;0,55;0,1;0,05;0,3
"657611";500,79018796267;547;0,0343385647816231;0,45;0,1;0,1;0,35
"12401";500,79018796267;547;0,0329866106418835;0,5;0,1;0,35;0,05
"11961";500,79018796267;547;0,031342060356838;0,55;0,1;0,3;0,05
"379811";500,79018796267;547;0,0306196472159767;0,6;0,1;0,1;0,2
"30921";500,79018796267;547;0,0300594734742048;0,4;0,1;0,35;0,15
"57381";500,79018796267;547;0,02943497065895;0,4;0,1;0,2;0,3
"20341";500,79018796267;547;0,0290563576614549;0,6;0,1;0,2;0,1
"21661";500,79018796267;547;0,0281627249770942;0,45;0,1;0,35;0,1
"565011";500,79018796267;547;0,0253976224987453;0,5;0,1;0,1;0,3
"39741";500,79018796267;547;0,024916435040845;0,4;0,1;0,3;0,2
"48561";500,79018796267;547;0,0245999014532638;0,4;0,1;0,25;0,25
"472411";500,79018796267;547;0,0241998663971188;0,55;0,1;0,1;0,25
"569411";500,79018796267;547;0,0232358831955227;0,45;0,1;0,15;0,3
"20781";500,79018796267;547;0,0219828115122979;0,55;0,1;0,25;0,1
